ds100,lat,lon
ABAG,53.60037735,10.03441971
AHOR,53.56195027,10.06504919
AAI,53.63271616,10.00664692
ADST,53.56093801,9.98966044
ASST,53.56382629,9.9657725
AHST,53.56173037,9.9501266
AHS,53.55289738,10.00802059
ABTSL,53.55299884,10.02457591
ALAN,53.56085651,10.03706034
AHSB,53.5648617,10.05643778
AWCH,53.57012686,10.05973388
AFBG,53.57619686,10.05738748
ABAP,53.58724112,10.04579692
AAW,53.59764491,10.03544731
ARP,53.60678411,10.03282927
AOPS,53.62107201,10.03171031
AKWS,53.63231716,10.05358311
AHCH,53.6353838,10.06722171
AWBS,53.64159533,10.08328769
APB,53.65186911,10.09380677
ABTSB,53.55263346,10.02492677
AROP,53.53829617,10.0443793
ATK,53.53079888,10.0664072
ABWM,53.5155272,10.09701921
ABS,53.50731544,10.11311411
AML,53.49833461,10.13055872
AALH,53.49036857,10.15859384
ANTB,53.4879227,10.18120666
ABG,53.4898693,10.20617378
ARBK,53.5080305,10.25190725
AWLF,53.52067991,10.27803785
AAH,53.53004764,10.31461282
AVLG,53.52615777,10.01615069
AVL,53.5264122,10.01644351
AOHA,53.53497329,10.02449951
AERI,53.54143547,10.00881225
AHB,53.46532427,9.97794948
AHO,53.47229507,9.96091196
ASE,53.47944986,10.00119017
ASEG,53.48262568,9.99856223
AWLG,53.48266065,9.99855603
AMD,53.42146818,10.03339161
AHAR,53.45606705,9.99085078
AWLB,53.49829462,10.00543792
AHDG,53.5173334,10.01014842
ASTG,53.59246013,9.48945666
ACVG,53.84638748,8.7304217
ABXG,53.47150295,9.67895342
AJUS,53.55231805,9.99387139
ASHS,53.54951063,9.984312
ALAS,53.54632062,9.97054244
ARES,53.54967611,9.95734293
AKS,53.54786418,9.9439742
AAS,53.55123257,9.93449991
AHAB,53.54646137,10.02363361
AVLS,53.52189936,10.0133802
AWFS,53.49891997,10.00683742
AHRS,53.45676417,9.99179748
AHRF,53.46063721,9.98020332
AHFS,53.46533206,9.96307164
ANWS,53.47307017,9.8773994
ANRS,53.47400779,9.85193618
ABLZ,53.32427118,9.876366
AJF,53.31386234,9.979535
AM,53.39854803,10.05984908
AHRO,53.52800678,10.07155261
AHBI,53.50733004,10.11257355
AALM,53.490854,10.15358328
AASA,53.36804233,10.14804425
ASTE,53.38778257,10.10956361
AROG,53.11237597,9.38987721
ASL,53.16647295,9.49773613
ALUB,53.19687816,9.56312888
ATST,53.27203686,9.7319381
ASP,53.30960314,9.81246264
ANEB,53.53504873,10.0243707
AHBG,53.47183489,9.91316957
HBWG,53.50697838,8.62090851
HBHP,53.59175444,8.59115531
AWRE,53.64647657,8.52110854
ADO,53.68864085,8.57567341
ANZ,53.7783174,8.6205861
HSPG,53.59147467,8.59153426
HBSB,53.06161754,8.88706531
HBAW,53.05173919,8.90683672
HVAH,53.07479648,8.85804203
HB,53.08318476,8.81352262
HBR,53.11056889,8.78045532
HHAT,53.06635299,8.87813154
HGA,53.026172,8.88361232
ASAG,53.08403505,9.02225429
HBNG,53.06908365,8.77202393
HBLG,53.14196534,8.72136768
HBB,53.15978577,8.70482167
HBL,53.17072653,8.68603004
HBMG,53.17157592,8.6701925
HBSC,53.17280575,8.64940438
HBV,53.1702288,8.63095221
HUTB,53.10240002,8.80677159
HBRG,53.14189521,8.7203777
HOLD,53.14410573,8.22261466
HHMG,53.13247367,8.24968495
HWUE,53.11839033,8.33488447
HHUD,53.10948268,8.46029036
HLBA,53.10168599,8.48451846
HBHB,53.0991391,8.53274052
HSCB,53.08470084,8.57886643
HHOY,53.06976228,8.59866248
HD,53.05279039,8.62942916
HD  F,53.0562958,8.67082455
HHEI,53.05706083,8.67972941
HBHU,53.06088038,8.72431766
HBN,53.07647025,8.78620892
HOLO,53.12726999,8.23742483
HOLT,53.11572574,8.23926893
HSAK,53.05499756,8.2547712
HHUL,52.99075248,8.26639485
HGRK,52.94531781,8.24136074
HAHO,52.89853887,8.20929261
HHOE,52.87024578,8.13616255
HCLP,52.84399359,8.0558283
HBMA,52.75331759,7.96591146
HESN,52.72388345,7.94541901
HQ,52.67394677,7.94774695
HBBR,52.55106643,7.94245448
HAHS,52.50347141,7.964338
HHES,52.4391812,7.96751688
HBRM,52.41123554,7.97473618
HAMR,52.39039256,7.94168677
HHAL,52.33913149,7.9449661
HOE,52.30184317,8.00418861
HNKP,53.14626918,8.46079509
HBER,53.18375674,8.47528417
HELS,53.23428015,8.46400432
HHWD,53.2786161,8.47247692
HKHW,53.30586298,8.47512082
HBKE,53.32871638,8.4811321
HGZW,53.34985388,8.47865959
HRDK,53.39983074,8.45471656
HKSI,53.44473074,8.47602281
HNO,53.48368576,8.48738594
HFAH,53.50589187,8.49548818
HEOG,52.72739784,7.94646856
HOLW,53.15169576,8.17871373
HKHF,53.17242139,8.06147448
HZWI,53.18245616,8.00395575
HOCH,53.20239546,7.8856728
HAUG,53.22083659,7.7599157
HSVL,53.21675919,7.6542068
HNTM,53.24800836,7.55768495
HLRS,53.24231789,7.52502699
HLEE,53.23138825,7.46531548
HOFD,53.18619368,8.20131256
HNSE,53.21377501,8.20202778
HRST,53.24460883,8.19099491
HJAD,53.33700877,8.18222259
HVA,53.39907721,8.15022184
HSRA,53.42782404,8.06060092
HSAN,53.49047173,8.0315747
HWHS,53.51679364,8.07140946
HWW,53.51784504,8.08512451
HW,53.5187622,8.11559239
HSAB,53.50739915,8.01470756
HWF,53.5255767,7.98811394
HHDM,53.54220129,7.946382
HJ,53.56877785,7.89298672
HWG,53.78777097,7.89897875
HSA,53.78918458,7.87766232
HWA,53.77387657,7.86657446
HWN,53.78889748,7.85162145
HACC,53.53864077,7.99257041
HWOE,53.59652972,8.08181504
HWNG,53.56858253,8.12058007
HWMG,53.60027103,8.08582421
HWJG,53.60083454,8.08579444
HGKE,53.03520919,8.54269893
HBRT,52.96703439,8.4468015
HWIH,52.898284,8.43152311
HRFD,52.83899544,8.39112426
HGOL,52.80109527,8.39427798
HLTT,52.7681796,8.34404531
HVCS,52.74919603,8.2937769
HVCH,52.72893487,8.28035339
HLON,52.66532364,8.2292201
HMLN,52.61884935,8.20820214
HSFD,52.59280851,8.198055
HHDF,52.57491547,8.13849427
HNKO,52.50827999,8.05937651
HRIE,52.48489973,8.01066157
HER,53.360554,7.20519445
HE,53.36907063,7.19505394
HABZ,53.46503339,7.28527883
HMAR,53.52092439,7.27044587
HNN K,53.58663846,7.22116939
HNN,53.58675212,7.22099792
HNNG,53.5916513,7.21760442
HESO,53.63618311,7.61619542
HBUR,53.60606558,7.71263014
HWTM,53.57984446,7.78878136
HEVA,53.35953603,7.19919607
HND,53.6215557,7.16075864
HNDM,53.62425311,7.15865006
HIHV,53.16471387,7.44694683
HWEE,53.16330641,7.34308319
HXWE,53.18751729,7.21025456
HEVG,53.36359782,7.18576726
HESG,,0
HO,52.272317,8.06129055
HSTA,52.27348115,8.09025431
HOR,52.26768066,8.08249005
HH,52.37743453,9.74214992
HLTA,52.3951534,9.65480301
HS,52.39169055,9.59437754
HDED,52.40703912,9.52128276
HWUN,52.42202497,9.45124509
HHAS,52.37921329,9.38838851
HRER,52.36747315,9.35116236
HLH,52.35432926,9.28877657
HSHG,52.33272628,9.18867545
HKHN,52.30778383,9.11949774
HBKB,52.26772991,9.04731431
HM  G,52.29753362,8.94908053
HM,52.29047868,8.93476446
HPTH,52.24264788,8.91956577
HOY,52.20536607,8.79648568
HL,52.19658882,8.71372545
EHFD,52.11972841,8.66364058
EBRAH,52.06998499,8.60600583
EBIL,52.02944733,8.53269277
EBWE,51.99722317,8.49849178
EIAV,51.93942289,8.43759462
EGLO,51.90693517,8.38493769
ERDW,51.85730084,8.28639642
EOEL,51.82924333,8.14292914
ENBM,51.80194144,8.02130227
EAHL,51.76110515,7.89533658
EHE P,51.70914706,7.83158223
EHM,51.67804049,7.80739081
HKUR,52.39590833,9.6655952
HHAW,52.40210782,9.67784995
HNHG,52.41003539,9.69214975
HHN,52.39396939,9.71721153
HHZ,52.3973433,9.70141542
HLEI,52.39690809,9.67651015
HLT,52.39414624,9.63979584
HVIN,52.42451063,9.70832622
HLGM,52.44013856,9.725394
HLGH,52.45097422,9.73607471
HIHG,52.48582457,9.80319325
HGBW,52.50653541,9.85795368
HHSW,52.55758076,9.96664624
HLEG,52.40844702,9.69067117
HLEA,52.41016379,9.69252659
HKAW,52.47969993,9.73638286
HBSS,52.52235794,9.74808206
HMDF,52.54858343,9.74431284
HBML,52.58035091,9.72718052
HLWL,52.61074366,9.68949908
HSWS,52.67854237,9.62429693
HHOD,52.76640285,9.59525898
AROD,53.10671293,9.35345882
HWSR,52.86478043,9.60101211
HFAL,52.86281571,9.70018703
HDMK,52.89915113,9.77124275
HSO,52.98289332,9.83104467
ASON,53.00125741,9.86105188
AWOL,53.02674615,9.84535629
ASDN,53.11124919,9.79864386
AWIM,53.18530802,9.82873426
AHAN,53.24196221,9.84463548
ABUS,53.26967342,9.85854287
AHES,53.28455902,9.86981722
ASUP,53.315796,9.85550756
HLGF,52.45895443,9.69901874
HLERN,52.38264846,9.97240311
HALI,52.40371102,9.97929921
HBGD,52.44905525,10.00301714
HOTZ,52.48762398,10.01712792
HELH,52.52360874,10.0295431
HC,52.62099445,10.06246963
HGAR,52.66936529,10.12072435
HESD,52.74153202,10.23116949
HUNL,52.83445386,10.29976775
HSUD,52.90499803,10.43282492
HKSU,52.93385509,10.49434006
HU,52.96986451,10.55358525
ABVS,53.0782524,10.57411076
ABIL,53.1421425,10.48456465
ADEV,53.19981806,10.43438001
ABAD,53.29036258,10.37230678
AMA,53.4040162,10.06536468
AMDH,53.42493353,10.0291016
AHBR,53.47174954,9.91670283
ANR,53.47427032,9.85190587
AFIB,53.47479009,9.81940036
ANWF,53.47311075,9.78930369
ABX,53.47049244,9.6882551
ANL,53.48156433,9.63890946
AHOG,53.5086488,9.57648573
ADR,53.5455212,9.55791273
AABG,53.56425464,9.530909
AST,53.59614749,9.47713693
AHAM,53.6124649,9.36716203
AHPF,53.62322637,9.3107412
AHEN,53.63881878,9.22771823
AHEM,53.68409285,9.16573972
AWG,53.74505156,9.0981146
ACD,53.76800139,9.05831196
AOF,53.80600604,8.89363803
ACV,53.86091661,8.70369314
HBSE,52.29608621,10.52579564
HBSN,52.28889056,10.54771109
HGLI,52.27648538,10.5509422
HCNG,52.6242041,10.06341008
HH  P,52.37247349,9.76916035
HKWA,52.37438006,9.80895823
HLER,52.3767861,9.97361547
HRAT,52.36181061,10.03673971
HHAE,52.35474135,10.11044197
HVOE,52.33591401,10.16731461
HP,52.31893994,10.23217035
HWOT,52.29489743,10.30256915
HVEC,52.25795043,10.35875555
HWIR,52.23528008,10.39316104
HGGL,52.22873785,10.43107389
HGAA,52.23816749,10.49958675
HBS,52.25204842,10.54051659
HWU,52.32448563,9.78823092
HHML,52.31632339,9.79335683
HRTN,52.28518651,9.82016738
HSRD,52.23192779,9.84208338
HBNT,52.19560802,9.81505639
HNOS,52.16736833,9.79000241
HELZ,52.1201195,9.74672918
HBAN,52.06602338,9.75035966
HGOD,52.01208694,9.79069853
HALF,51.98123595,9.81817378
HFRE,51.92783914,9.89899521
HK,51.85098099,9.96735644
HEB,51.79807392,9.92283205
HEDS,51.72158132,9.9769084
HN,51.70333834,9.98625208
HNTH,51.62798613,9.93310021
HG  N,51.56723706,9.92140913
HG  G,51.54965227,9.92565497
FBOF,51.3991641,9.62892133
FSPE,51.37725742,9.56390196
FKHF,51.35939774,9.55261088
FIH,51.3484179,9.52616975
FNV,51.35104073,9.47727602
FK,51.31857894,9.48991522
HHBI,52.35626451,9.76986473
HRIT,52.27230277,9.82925049
HGIF,52.23188851,9.83173793
HESR,52.17070678,9.844314
HSOR,52.13694204,9.86832208
HDI,52.0937911,9.88609942
HAL,52.02691291,9.94447096
HNE,51.98438378,9.98243671
HGE,51.9275071,9.99915243
HORX,51.86138929,9.98885392
HAH,51.80255439,9.96944912
HEDM,51.7280062,9.9701518
HG,51.53697869,9.92575708
HSIK,51.52321189,9.89836921
HJD,51.45442031,9.8066811
FLIP,51.40795407,9.72063519
FKAT,51.39403635,9.66501525
FLUT,51.37074182,9.59231576
FKWN,51.33983212,9.47166657
FKW,51.3128378,9.44652773
FKOA,51.28182463,9.45612308
FKEI,51.26575432,9.45626886
FSWR,51.21392717,9.48905313
FKOT,51.18173804,9.52966326
FWIL,51.08987003,9.58581765
FLIR,51.02313468,9.57502068
FMBA,50.93554172,9.57525732
FKHM,50.87253277,9.5875507
FHAH,50.82247851,9.58951095
FRIH,50.7714752,9.60202209
FLSW,50.71531691,9.61255007
FMIR,50.65414246,9.64993192
FDIE,50.6063298,9.69115576
FFU,50.55481862,9.68418678
FHAG,50.4545006,9.65691305
FLRN,50.39925498,9.65087645
FLRS,50.34506652,9.65714229
NMOT,50.27333117,9.65452729
NAG,50.23629751,9.6337772
NDI,50.17536753,9.63761116
NBNB,50.12361056,9.66062111
NMUB,50.04071089,9.6744273
NRB,49.96184411,9.7104366
NHW,49.90601539,9.76120713
NES,49.86162585,9.81810227
NNB,49.83021094,9.86189481
NWH,49.8021501,9.93590983
HKL,52.37376897,9.79193571
HAMI,52.36914289,9.86049639
HHT,52.37387283,9.89342641
HALT,52.3762214,9.90454747
HPOG,52.4671874,9.45383464
HNRU,52.50381994,9.45533721
HEIV,52.54474536,9.42858127
HHGH,52.5734807,9.40898139
HHAG,52.57738209,9.40329692
HLBU,52.60169557,9.32483097
HNBG,52.64557299,9.2176765
HROR,52.69612967,9.23219732
HETR,52.78314935,9.23136488
HDVD,52.84688411,9.24634292
HWAB,52.89200278,9.24091302
HV,52.92082739,9.23766391
HLGW,52.97764024,9.19577738
HETL,52.99912076,9.12407812
HBDV,53.00784388,9.08126308
HACH,53.01589712,9.03098661
HBM,53.03876826,8.94776034
HBWA,53.10349036,8.78653859
HBOS,53.13517028,8.74146928
HRTH,53.18359969,8.7538555
HOSS,53.22290406,8.79748646
HOLB,53.28326006,8.81043434
HLBR,53.34335017,8.78512475
HSUB,53.40582308,8.7805178
HLUN,53.43886588,8.73544077
HLOX,53.47492862,8.6539789
HBWU,53.50900571,8.61118815
HBH,53.53503011,8.59911702
HBHL,53.56633641,8.60048976
HBHK,53.59024461,8.55317162
HLGD,52.62019447,9.23252638
HSFF,52.60902685,9.1918357
HEST,52.5896722,9.15397492
HLDB,52.54706217,9.12967848
HLBL,52.52776412,9.12590977
HLST,52.5096155,9.10997884
HHMS,52.46214038,9.04616564
HWDH,52.40680644,9.02301369
HLAD,52.36813446,9.00971649
HFLL,52.33198735,8.99392552
HLIB,52.60412485,9.10603629
HSUL,52.68500742,8.81340459
HBAV,52.61427829,8.58782967
HRWE,52.616867,8.46363362
HDIP,52.60489129,8.38054505
HWAL,52.96614892,9.25538829
HHTM,52.99192792,9.31121651
HWEW,53.0309942,9.34618935
HUNT,53.07693497,9.34531223
HGUE,52.41008331,9.50692805
HSR,52.39176539,9.61158407
HAHM,52.38626034,9.66951323
HLIH,52.35966604,9.67971042
HLI,52.353887,9.71155353
HWHN,52.34479147,9.76654043
HWAM,52.34835829,9.78117122
HMI,52.37590867,9.86661734
HLERW,52.37996788,9.95734388
HEMA,52.34465596,9.67349726
HLI R,52.35261361,9.72344017
HHBO,52.35027375,9.67950769
HEMP,52.34009971,9.66888201
HRBG,52.32361678,9.65207301
HWEZ,52.29754507,9.63483827
HHOL,52.27197921,9.65318255
HBEN,52.24096881,9.66632264
HELV,52.21182418,9.62622843
HSPR,52.215175,9.55672564
HMDD,52.17723546,9.4677387
HHM,52.10141989,9.375409
HEMT,52.04609094,9.38282063
HPRT,51.9744175,9.27284463
HLUE,51.95928751,9.25078807
HSCI,51.92237101,9.15306876
HSTM,51.86837849,9.08856056
HBHE,51.83066936,9.05536896
HHIG,51.80381886,8.99392318
HLAN,51.77164743,8.98695113
HA,51.76667856,8.94274319
