Abk,Name,Kurzname,Typ,,
BNIW,Berlin-Nikolassee (Wannseebahn),Nikolassee Ws-B,Hp,,
BNK,Berlin-Neukölln                   S-Bahn,Neukölln S-B,Bf,,
BNKN,Berlin-Neukölln,Bln-Neukölln,Bf,,
BNMW,Neu Manschnow,Neu Manschnow,Hp,,
BNO,Berlin Nordost,Bln Nordost,Bf,,
BNP,Neupetershain,Neupetershain,Hp,,
BNPL,Berlin Nöldnerplatz,Nöldnerplatz,Bft,,
BNSH,Berlin-Niederschönhausen,Bln-Ndrschönhsn,Bf,,
BNT,Nochten,Nochten,Anst,,
BNTB,Neutrebbin,Neutrebbin,Bf,,
BNTBD,Neutrebbin Denkmal,Neutrebbin Denkm,Bush,,
BNTBW,Neutrebbin Wriezener Straße,Neutrebbin Wriez,Bush,,
BNY,Niesky,Niesky,Bf,,
BNY H,Niesky Horkaer Straße,Niesky Horkaer S,Bush,,
BNY O,Niesky Ödernitzer Straße,Niesky Ödernitz,Bush,,
BNZ,Neuzelle,Neuzelle,Hp,,
BOB,Obersdorf,Obersdorf,Hp,,
BOD,Oderin,Oderin,Hp,,
BODK,Frankfurt (Oder) Oderbrücke,Oderbrücke,Bf,,
BOEG,Oegeln,Oegeln,Hp,,
BOG,Berlin Ostendgestell,Ostendgestell,Abzw,,
BOH,Berlin Osthafen,Bln Osthafen,Bf,,
BOK,Berlin Ostkreuz (Ringbahn-S),Ostkreuz Ring-S,Bf,,
BOKN,Berlin Ostkreuz (Ringbahn-F),Ostkreuz Ring-F,Bf,,
BOKO,Berlin Ostkreuz (Ostbahn),Ostkreuz Ostbahn,Bf,,
BOKR,Berlin Ostkreuz (Stadtbahn-F),Ostkreuz Stadt-F,Bft,,
BOKS,Berlin Ostkreuz (S-Bahn),Ostkreuz (S-B),Bft,,
BOLS,Berlin Olympiastadion,Olympiastadion,Bf,,
BOLX,Berlin Olympiastadion ESTW-UZ,Olympiastad ESTW,BZ,,
BOR,Oranienburg,Oranienburg,Bf,,
BOR S,Oranienburg Hst Stralsunder Straße,Oranienb Stralsu,Bush,,
BORB,Oranienburg                       S-Bahn,Oranienburg  S-B,Bf,,
BORB1,Oranienburg BW,Oranienburg BW,Werk,,
BORQ,Oranienburg Bedienstandort,Oranienburg BSO,BSO,,
BORS,Berlin Oranienburger Straße,OranienburgerStr,Bft,,
BORT,Ortrand,Ortrand,Bf,,
BOSB,Berlin Ostbahnhof                 S-Bahn,Bln Ostbf S-B,Bf,,
BOSGA,Berlin Warschauer Straße (F-Bahn) Bft,Warsch Str F Bft,Bft,,
BOSP,Berlin Oberspree,Oberspree,Hp,,
BOSS,Berlin Osdorfer Straße,Osdorfer Straße,Hp,,
BOSX,Berlin Ostbahnhof ESTW-UZ,Ostbahnhof ESTW,BZ,,
BP,Plessa,Plessa,Hp Bk,,
BPA,Kunersdorf,Kunersdorf,Hp,,
BPA B,Kunersdorf Bf Bush,Kunersdorf Bf,Bush,,
BPA S,Kunersdorf Straße des Friedens,Kun Str d Fried,Bush,,
BPAF,Berlin Südkreuz,Berlin Südkreuz,Bf,,
BPAFB,Berlin Südkreuz Bus,Berlin Südkr Bus,Bush,,
BPAFS,Berlin Südkreuz Südende,Bln Südende,Bft,,
BPAFS,Berlin Südkreuz Süd Abzw,Bln Südkreuz Süd,Bft Abzw,,
BPAS,Luckau-Paserin,Luckau-Paserin,NE-Hp,,
BPB,Berlin Perleberger Brücke,Perleberger Br,Hp,,
BPD,Potsdam Hbf,Potsdam Hbf,Bf,,
BPDC,Potsdam Charlottenhof,Potsd.Charlotten,Hp,,
BPDCH,Potsdam Charlottenhof HVG Linie 631,P.Charlotthf HVG,Bush,,
BPDH,Potsdam Hbf                       S-Bahn,Potsdam Hbf  S-B,Bf,,
BPDP,Potsdam Pirschheide,Potsdam Pirschh,Hp Bk,,
BPE,Petershain,Petershain,Hp,,
BPEN,Petershagen Nord,Petershagen Nord,Hp,,
BPET,Petersdorf (Kr Fürstenwalde/Spree),Petersdf(Kr Fü),Hp,,
BPF,Pfaffendorf (Mark),Pfaffendorf (M),NE-Hp,,
BPFA,Plessa Forst Sbk A,Plessa For Sbk A,Sbk,,
BPFB,Plessa Forst Sbk B,Plessa For Sbk B,Sbk,,
BPFG,Bad Saarow-Pieskow DB Grenze,B Saarow-Piesk G,Gp,,
BPG,Podelzig,Podelzig,Bf,,
BPHD,Berlin-Pankow-Heinersdorf,Pankow-Heinersdf,Hp Bk,,
BPI,Peitz,Peitz,Bf,,
BPIC,Berlin Pichelsberg,Pichelsberg,Bft,,
BPIL,Pillgram,Pillgram,Bf,,
BPILF,Pillgram Feuerwehr,Pillgram Feuerw,Bush,,
BPILS,Pillgram Schulstraße,Pillgram Schul,Bush,,
BPK,Kostrzyn                            (PL),Kostrzyn      PL,Emst,,
BPKR,Berlin-Pankow,Bln-Pankow,Bf,,
BPKW,Berlin-Pankow                     S-Bahn,Bln-Pankow S-B,Bf,,
BPL,Preilack,Preilack,Abzw,,
BPLA,Berlin Prenzlauer Allee,Prenzlauer Allee,Hp,,
BPM,Pramsdorf,Pramsdorf,Bk,,
BPO,Peitz Ost,Peitz Ost,Bf,,
BPOE,Berlin Poelchaustraße,Poelchaustraße,Hp,,
BPOF,Berlin Potsdamer Platz,Bln Potsdamer Pl,Hp,,
BPOG,Berlin Potsdamer Gbf,Bln Potsd Gbf,Bf,,
BPOL,Polzen,Polzen,NE-Hp,,
BPOP,Berlin Potsdamer Platz          (S-Bahn),Potsdamer Platz,Bf,,
BPOR,Berlin Potsdamer Ringbahnhof,Bln Potsd Ringbf,Bf,,
BPOT,Priort,Priort,Bf,,
BPOTH,Priort HVG Linie 667,Priort HVG L 667,Bush,,
BPRA,Preußnitz Pra Strw 6542/6553,Strw 6542/6553,Strw,,
BPRB,Preußnitz Prb Strw 6555/6542,Strw 6555/6542,NE-Strw,,
BPRG,Preußnitz DB-Gr,Preußnitz DB-Gr,Gp,,
BPRS,Berlin Priesterweg,Priesterweg,Bf,,
BPW,Prösen-Wainsdorf / Prösen Ost,Prösen-Wainsdf,Hp Bk,,
BPW O,Prösen Ost B101,Prösen Ost B101,Bush,,
BPWA,Berlin Plänterwald,Plänterwald,Hp,,
BPWE,Wegliniec                           (PL),Wegliniec     PL,Emst,,
BPZ,Peickwitz Streckenw 6198/6199,Peickwitz Strw,Strw,,
BPZL,Prötzel,Prötzel,Bush,,
BQAH,Ahrensfelde BE/BB,Ahrensfelde LGr,LGr,,
BQAK,Berlin-Karow West BE/BB 6087,Bln-Kar W 6087,LGr,,
BQAKS,Berlin-Karow West BE/BB 6009,Bln-Kar W 6009,LGr,,
BQAS,Berlin-Albrechtshof BE/BB,Bln-Albrhof LGr,LGr,,
BQBD,Bohnsdorf 6151,Bohnsdorf 6151,LGr,,
BQBL,Berlin-Blankenfelde BE/BB,Bln-Blankfde LGr,LGr,,
BQBU,Berlin-Buch BE/BB 6081,Bln-Buch 6081,LGr,,
BQBUS,Berlin-Buch BE/BB 6002,Bln-Buch 6002,LGr,,
BQER,Erkner BB/BE,Erkner BB/BE,LGr,,
BQFH,Berlin-Schönefeld Flughafen BB/BE,Bln Schönefd LGr,LGr,,
BQFLH,Berlin Grünbergallee BE/BB,Bln Grünbga LGr,LGr,,
BQFO,Berlin-Frohnau BE/BB 6088,Bln-Frohn 6088,LGr,,
BQFOH,Berlin-Frohnau BE/BB 6030,Bln-Frohn 6030,LGr,,
BQFR,Frauenhain SN/BB,Frauenhain SN/BB,LGr,,
BQGA,Berlin-Grünau BE/BB 6142,Bln-Grünau 6142,LGr,,
BQGAF,Berlin-Grünau BE/BB 6519,Bln-Grünau 6519,LGr,,
BQGAS,Berlin-Grünau BE/BB 6007,Bln-Grünau 6007,LGr,,
BQGB,Potsdam Griebnitzsee BE/BB 6118,Pd Griebns 6118,LGr,,
BQGBZ,Potsdam Griebnitzsee BE/BB 6177,Pd Griebns 6177,LGr,,
BQGR,Graustein BB/SN,Graustein BB/SN,LGr,,
BQHC,Hosena BB/SN,Hosena BB/SN,LGr,,
BQHL,Berlin-Heiligensee BE/BB,Bln-Heiligs LGr,LGr,,
BQKA,Berlin-Karow BE/BB,Bln-Karow BE/BB,LGr,,
BQKK,Küstrin-Kietz BB/PL,Küstr-Kietz LGr,LGr,,
BQLA,Lauta (Niederlausitz) SN/BB,Lauta (Nl) LGr,LGr,,
BQLI,Berlin-Lichterfelde Süd BE/BB,Bln-Lifde S LGr,LGr,,
BQLR,Berlin-Lichtenrade BE/BB,Bln-Li-rade LGr,LGr,,
BQMA,Mahlow BB/BE,Mahlow BB/BE,LGr,,
BQMD,Berlin-Mahlsdorf BE/BB 6078,Bln-Mahlsdf 6078,LGr,,
BQMDF,Berlin-Mahlsdorf BE/BB 6006,Bln-Mahlsdf 6006,LGr,,
BQMZ,Medewitz (Mark) BB/ST,Medewitz LGr,LGr,,
BQOD,Frankfurt (Oder) Oderbrücke BB/PL,Oderbrücke LGr,LGr,,
BQOR,Ortrand BB/SN,Ortrand BB/SN,LGr,,
BQSD,Sabrodt SN/BB,Sabrodt SN/BB,LGr,,
BQSP,Spreewitz SN/BB,Spreewitz SN/BB,LGr,,
BQST,Berlin-Staaken BE/BB 6107,Bln-Staaken 6107,LGr,,
BQSTA,Berlin-Staaken BE/BB 6185,Bln-Staaken 6185,LGr,,
BQSTG,Berlin-Staaken BE/BB 6179,Bln-Staaken 6179,LGr,,
BQSU,Schwarze Pumpe BB/SN,Schw Pumpe LGr,LGr,,
BQTL,Teltow BB/BE,Teltow BB/BE,LGr,,
BQU,Quitzdorf,Quitzdorf,Awanst,,
BQU,Quitzdorf,Quitzdorf,Awanst,,
BQWG,Wiesenburg (Mark) BB/ST,Wiesenburg(M)LGr,LGr,,
BQWI,Berlin-Wilhelmshagen BE/BB,Bln-Wilhhg Lgr,LGr,,
BQWS,Berlin -Wannsee BE/BB,Bln-Wannsee LGr,LGr,,
BRA,Ragow Umspannwerk,Ragow Umspannw,Awanst,,
BRAD,Raddusch,Raddusch,Hp,,
BRADB,Raddusch Bahnhof,Raddusch Bahnhof,Bush,,
BRADO,Raddusch Ortsmitte,Raddusch Ortsm,Bush,,
BRADS,Raddusch Abzweig L49,Raddusch AbzwL49,Bush,,
BRB,Berlin-Rummelsburg Betriebsbahnhof,Bbf Bln-Rummelsb,Hp,,
BRBG,Rothenburg (Lausitz),Rothenburg(Laus),Anst,,
BRC,Potsdam-Rehbrücke,Potsd-Rehbrücke,Bf,,
BRD,Berlin-Rahnsdorf,Rahnsdorf,Bf,,
BRDF,Berlin-Rahnsdorf                   (Üst),Rahnsdorf    Üst,Üst,,
BRE,Rehfelde,Rehfelde,Bf,,
BRFD,Rehfeldt (Oderbruch),Rehfeldt(Oderbr),Bf,,
BRG,Ragow,Ragow,Bk,,
BRG G,Ragow Gasthaus,Ragow Gasthaus,Bush,,
BRGB,Berlin-Rummelsburg,Bln-Rummelsburg,Bf,,
BRGBA,Berlin-Rummelsburg (Rgba),Bln-Rummels Rga,Bft,,
BRGBB,Berlin-Rummelsburg                  (BZ),Bln-Rummels   BZ,Bft,,
BRGBO,Berlin-Rummelsburg (Rgbo),Bln-Rummels Rgo,Bft,,
BRGBR,Berlin-Rummelsburg (Ra),Bln-Rummels Ra,Bft,,
BRGBT,Berlin-Rummelsburg (Triebzuganlage),Bln-Rummels Tanl,Bft,,
BRGBV,Berlin-Rummelsburg (Rgbv),Bln-Rummels Vnk,Bft Abzw,,
BRGBW,Berlin-Rummelsburg (Rgbw),Bln-Rummels Rgw,Bft,,
BRGT,Röntgental,Röntgental,Hp,,
BRH,Berlin-Rummelsburg (S-Bahn),Bln-Rummelsb SB,Bft,,
BRI,Rietschen,Rietschen,Hp,,
BRKD,Berlin-Reinickendorf,Bln-Reinickendf,Bf,,
BRKL,Rehagen,Rehagen,NE-Hp,,
BRKLD,Klausdorf, Dorfplatz,Klausdorf,,
BRO,Rückersdorf                    (Niederl),Rückersdorf NL,Bf,,
BRON,Röntgental Üst Fernbahn,Röntgental Üst,Üst,,
BROT,Rochau Forsthaus,Rochau Forsthaus,NE-Hp,,
BRSF,Rangsdorf,Rangsdorf,Bf,,
BRST,Berlin Rathaus Steglitz,Rathaus Steglitz,Hp,,
BRTW,Reitwein,Reitwein,Hp,,
BRU,Ruhland,Ruhland,Bf,,
BRUE,Rüdersdorf (b Berlin),Rüdersdf(b Bln),NE-Bf,,
BRUH,Berlin-Ruhleben,Bln-Ruhleben,Bft,,
BRUN,Berlin-Rudow Nord,Bln-Rudow Nord,NE-Anst,,
BRUZ,Ruhlsdorf-Zerpenschleuse,Ruhlsdf-Zerpens,NE-Hp,,
BRUZD,Zerpenschleuse Dorf,Zerpenschl Dorf,Bush,,
BRW,Berlin Raoul-Wallenberg-Straße,R-Wallenberg-Str,Hp,,
BSA,Berlin Südlicher Außenring,Südl Außenring,LW,,
BSAD,Berlin-Adlershof Abzw,Bln-Adlersh Abzw,Abzw,,
BSAE,Särichen,Särichen,Abzw,,
BSAH,Sachsenhausen (Nordb),Sachsenhausen,Hp,,
BSAL,Berlin Schönhauser Allee          S-Bahn,Schönhauser All,Bft,,
BSAM,Saarmund,Saarmund,Bf,,
BSAMA,Saarmund Abzweig zum Bf,Saarmund Abzw Bf,Bush,,
BSAP,Berlin Savignyplatz,Savignyplatz,Hp,,
BSAR,Saadow-Rutzkau,Saadow-Rutzkau,Bf,,
BSAT,Satzkorn,Satzkorn,Bf,,
BSB,Schneeberg (Mark),Schneeberg(Mark),Hp,,
BSBA,Schneeberg,Schneeberg,Awanst,,
BSBB,Berlin-Schöneberg Betriebsbf,Betrbf Schönebg,Bf,,
BSBD,Schönborn (b Doberlug),Schönborn,Hp,,
BSBF,Schönborn Forst,Schönborn Forst,Bk,,
BSBK,Sternebeck,Sternebeck,Bf,,
BSBKS,Sternebeck Schranke,Sternebeck Schr,Bush,,
BSC,Berlin Schichauweg,Schichauweg,Hp,,
BSCA,Schlieben Bundeswehr,Schlieben Bund,NE-Anst,,
BSCF,Berlin-Schöneweide Betriebsbahnhof,Bbf Bln-Schönwd,Hp Bk,,
BSCH,Schönwalde (Spreewald),Schönwalde Sprw,Hp,,
BSCK,Scharfenbrück,Scharfenbrück,Bk,,
BSCL,Schlieben,Schlieben,NE-Bf,,
BSCM,Schildow-Mönchmühle,Schildow-Mönchm,NE-Hp,,
BSCW,Schildow,Schildow,NE-Hp,,
BSD,Sabrodt,Sabrodt,Bf,,
BSDE,Berlin Südende,Südende,Bft,,
BSDG,Berlin Sundgauer Straße,Sundgauer Str,Hp,,
BSDO,Sandow,Sandow,Bf,,
BSE,Seddin,Seddin,Bf,,
BSE B,Seddin Bla,Seddin Bla,Bft,,
BSE M,Seddin Srw Mitte,Seddin Srw M,Bft,,
BSE N,Seddin Einf Nord,Seddin Einf Nord,Bft,,
BSE O,Seddin So,Seddin So,Bft,,
BSE S,Seddin Waldstraße,Seddin Waldstr,Bush,,
BSE W,Seddin Ausf West,Seddin Ausf W,Bft,,
BSE 1,Seddin                              (Bh),Seddin,CEst,,
BSEE,Seefeld (Mark),Seefeld (Mark),Hp Awanst,,
BSEEB,Seefeld (Mark) Bushst,Seefeld (Mark) B,Bush,,
BSEO,Sedlitz Ost,Sedlitz Ost,Bft,,
BSEP,Schöneicher Plan,Schöneicher Plan,Bf,,
BSF,Schönefeld (Kr Luckenwalde),Schönefeld(Luck),NE-Hp Anst,,
BSF B,Schönefeld (Kr Luckenwalde) Bushaltest.,Schönefd, Bush,,
BSFD,Seegefeld,Seegefeld,Hp,,
BSFE,Schleife,Schleife,Bf,,
BSFL,Schönfließ,Schönfließ,Bf,,
BSFW,Schönfließ West,Schönfließ West,Abzw,,
BSGN,Berlin Sgn,Berlin Sgn,Abzw,,
BSGR,Berlin-Schöneberg (Ringbahn),Bln-Schönebg R-B,Bf,,
BSGV,Berlin-Schöneberg (Vorortbahn),Bln-Schönebg V-B,Bf,,
BSGXV,Berlin-Schöneberg ESTW-UZ,Bln-Schöneb ESTW,BZ,,
BSH,Wendisch Rietz,Wendisch Rietz,Hp,,
BSHA,Berlin Schönhauser Allee,Bln Schönh Allee,Bft,,
BSHB,Berlin Sellheimbrücke,Sellheimbrücke,Hp,,
BSHE,Schwante,Schwante,Hp,,
BSHEG,Schwante An der Kirche,Schwante Kirche,Bush,,
BSHN,Schmachtenhagen,Schmachtenhagen,NE-Hp,,
BSI,Simmersdorf,Simmersdorf,Anst,,
BSIS,Caputh Schwielowsee,Caputh Schwielow,Hp,,
BSIZ,Sietzing,Sietzing,Hp,,
BSKL,Schwarzkollm,Schwarzkollm,Bf,,
BSKR,Berlin Südkreuz (Ringbahn),Südkreuz (Rb),Bf,,
BSKV,Berlin Südkreuz (Vorortbahn),Südkreuz (Vb),Bf,,
BSL,Schönerlinde,Schönerlinde,NE-Bf,,
BSLO,Seelow (Mark),Seelow (Mark),Bf,,
BSLS,Berlin-Schlachtensee,Bln-Schlacht.see,Bf,,
BSLT,Seelow (Mark) Stadt,Seelow(M)Stadt,Hp Anst,,
BSMS,Berlin-Siemensstadt,Bln-Siemensstadt,Bf,,
BSN,Senftenberg,Senftenberg,Bf,,
BSN A,Senftenberg B 7,Senftenberg B 7,Bft,,
BSN E,Senftenberg B 10,Senftenberg B 10,Bft,,
BSNA,Spreewitz Nord,Spreewitz Nord,Abzw,,
BSNF,Schönfließ                        S-Bahn,Schönfließ S-B,Bf,,
BSNH,Berlin-Schönholz                  S-Bahn,Schönholz S-B,Bf,,
BSNL,Berlin-Schönholz,Bln-Schönholz,Bf,,
BSNX,Senftenberg ESTW-UZ,Senftenberg ESTW,BZ,,
BSNZ,Luckaitztal,Luckaitztal,Hp,,
BSNZB,Luckaitztal Buchwäldchen Ortsmitte,Luckaitztal Buch,Bush,,
BSNZM,Luckaitztal Muckwar Gasthaus,Luckaitztal Muck,Bush,,
BSO,Berlin Sonnenallee,Sonnenallee,Hp,,
BSOE,Schönfließ Dorf,Schönfließ Dorf,Bf,,
BSP,Spremberg,Spremberg,Bf,,
BSPA,Berlin-Spandau                    S-Bahn,Bln-Spandau  S-B,Bf,,
BSPB,Sperenberg,Sperenberg,NE-Bf,,
BSPBT,Sperenberg Tankstelle,Sperenberg,Tank,,
BSPD,Berlin-Spandau,Bln-Spandau,Bf,,
BSPDM,Berlin-Spandau Mitte,Bln-Spandau Mit,Bft,,
BSPDO,Berlin-Spandau Ost,Bln-Spandau Ost,Bft,,
BSPDW,Berlin-Spandau West,Bln-Spandau West,Bft,,
BSPE,Spreewitz,Spreewitz,Bf,,
BSPF,Berlin-Spindlersfeld,Bln-Spindlersfd,Hp,,
BSPG,Berlin-Spandau Gbf,Bln-Spandau Gbf,Bft,,
BSPH,Berlin Springpfuhl,Springpfuhl,Bf,,
BSPJ,Berlin-Spandau Johannesstift,Bln-Spandau Joh,NE-Bf,,
BSPN,Spreewitz Nord,Spreewitz Nord,Bk,,
BSPO,Berlin-Spandau Osth E,Bln-Spandau Osth,NE-Bf,,
BSPS,Spreewitz Süd,Spreewitz Süd,Abzw,,
BSR,Skyro,Skyro,Bk,,
BSRL,Berlin Ringbahn S42 gegen Uhrzeigersinn,Ringbahn S 42,LW,,
BSRO,Schwarzheide Ost,Schwarzheide Ost,Hp,,
BSRR,Berlin Ringbahn S41 im Uhrzeigersinn,Ringbahn S 41,LW,,
BSRW,Berlin-Stresow,Stresow,Bft,,
BSS,Seddin Süd,Seddin Süd,Bf,,
BSS O,Seddin Süd Sso,Seddin Süd Sso,Bft,,
BSS S,Seddin Süd Ausf,Seddin Süd Ausf,Bft,,
BSS U,Seddin Süd Umspanngleise,Seddin Süd Umsp,Bft,,
BSS W,Seddin Süd Ssw,Seddin Süd Ssw,Bft,,
BSST,Berlin Stadtforst,Stadtforst,Abzw,,
BST,Strausberg,Strausberg,Bf,,
BSTA,Berlin-Staaken,Berlin-Staaken,Bf,,
BSTAB,Berlin-Staaken Bstg,Bln-Staaken Bstg,Hp,,
BSTF,Stahnsdorf,Stahnsdorf,Bf,,
BSTH,Ludwigsfelde-Struveshof,Ludwigsf-Struves,Hp,,
BSTN,Strausberg Nord,Strausberg Nord,Bf,,
BSTO,Berlin Storkower Straße,Storkower Str,Hp,,
BSTR,Strausberg Stadt,Strausberg Stadt,Hp,,
BSTS,Strausberg Stadt                   (STE),Strausberg Stadt,NE-Bf,,
BSTV,Strausberg                        S-Bahn,Strausberg S-B,Bft,,
BSTW,Storkow (Mark),Storkow (Mark),Bf,,
BSTZ,Berlin-Steglitz Gbf,Bln-Steglitz Gbf,Bf,,
BSU,Schwarze Pumpe,Schwarze Pumpe,Bf,,
BSW,Berlin-Schöneweide                S-Bahn,Schöneweide S-B,Bf,,
BSWA,Schönwalde (Barnim) Awanst,Schönwalde(Barn),NE-Awanst,,
BSWB,Schwarzbach (b Ruhland),Schwarzbach b Ru,Bf,,
BSWH,Schönwalde (Barnim),Schönwalde(Barn),NE-Hp,,
BSWHN,Schönwalde (Barnim) Bf             (NEB),Schönw(Barn)NEB,Museum,,
BSWL,Schönwalde (b Nauen),Schönwalde b N,Üst,,
BSWO,Berlin-Schöneweide Ost,Bln-Schönew Ost,Bft,,
BSWP,Berlin-Schöneweide,Bln-Schöneweide,Bf,,
BSWSX,Berlin-Schöneweide Hauptwerkstatt,HW Schöneweide,Bft,,
BSY,Schwarzheide BASF GmbH,BASF Schwarzheid,Bf,,
BSZD,Schulzendorf (b Bad Freienwalde),Schulzendf b BFw,Hp,,
BSZDB,Schulzendorf (Kr Bad Freienw) Bush,Schulzendf Bush,Bush,,
BSZDS,Schulzendorf (Kr Bad Freienw) Schranke,Schulzendf Schr,Bush,,
BSZF,Berlin-Schulzendorf,Schulzendorf(Tg),Hp,,
BT,Teichland,Teichland,Hp,,
BTA,Tauer,Tauer,Bf,,
BTE,Tauche (b Beeskow),Tauche (b Beesk),NE-Hp,,
BTF,Berlin-Tempelhof,Bln-Tempelhof,Bf,,
BTFR,Berlin-Tempelhof Rbf,Bln-Tempelh Rbf,Bf,,
BTFS,Tiefensee,Tiefensee,NE-Bf,,
BTG,Berlin-Tegel,Bln-Tegel,Bf,,
BTGH,Berlin-Tegel Hafen,Bln-Tegel Hafen,Bf,,
BTGN,Berlin-Tiergarten,Tiergarten,Bf,,
BTHF,Berlin-Tempelhof                  S-Bahn,Tempelhof    S-B,Bft,,
BTHO,Thöringswerder,Thöringswerder,Anst,,
BTHR,Thyrow,Thyrow,Hp,,
BTI,Tiefenbrunnen,Tiefenbrunnen,Bf,,
BTK,Berlin Teltowkanal,Bln Teltowkanal,NE-Bf,,
BTL,Teltow,Teltow,Bf,,
BTLH,Teltow Hafen,Teltow Hafen,Bf,,
BTLS,Teltow Stadt,Teltow Stadt,Bf,,
BTLW,Teltow West,Teltow West,Bf,,
BTN,Trebbin,Trebbin,Bf,,
BTOP,Töpchin,Töpchin,NE-Bf,,
BTOR,Berlin Brandenburger Tor,BrandenburgerTor,Hp,,
BTP,Berlin Treptower Park,Treptower Park,Bft,,
BTPI,Groß Köris,Groß Köris,Hp,,
BTR,Tröbitz,Tröbitz,Bf,,
BTWG,Berlin-Treptow Gbf,Bln-Treptow Gbf,Bft,,
BTZ,Trebnitz (Mark),Trebnitz (Mark),Hp Üst,,
BTZN,Treuenbrietzen,Treuenbrietzen,Bf,,
BTZNZ,Treuenbrietzen ZOB,Treuenbr ZOB,Bush,,
BTZS,Treuenbrietzen Süd,Treuenbrietzen S,Hp,,
BTZSB,Treuenbrietzen Süd an der B 102,Treuenbr Süd 102,Bush,,
BUD,Uhsmannsdorf,Uhsmannsdorf,Hp,,
BUK,Luckau-Uckro,Luckau-Uckro,Bf,,
BUL,Ullersdorf (Schwansee),Ullersdf (Schws),Hp,,
BUS,Uhyst,Uhyst,Bf,,
BUS,Uhyst,Uhyst,Hp,,
BUS G,Uhyst Gaststätte,Uhyst Gaststätte,Bush,,
BUSL,Uhyst Laubag,Uhyst Laubag,Bft,,
BV,Vetschau,Vetschau,Bf,,
BV  B,Vetschau Bahnhofstr,Vetschau Bfstr,Bush,,
BVBG,Voßberg,Voßberg,Bf,,
BVC,Vetschau Kraftwerk,Vetschau Kraftw,Hp,,
BVDP,Berlin-Tempelhof Vdp,Bln-Tempelh(Vdp),Abzw,,
BVLT,Velten (Mark),Velten (Mark),Bf,,
BVLZ,Vehlefanz,Vehlefanz,Hp,,
BVLZA,Vehlefanz Ausgang,Vehlefanz,Ausg,,
BVOG,Vogelsang (Kr Eisenhüttenstadt),Vogelsang(Kr Eh),Hp,,
BVTW,Berlin-Treptow Streckenwechsel 6164/6142,Treptow Strw,Strw,,
BWA,Walddrehna,Walddrehna,Bf,,
BWA D,Walddrehna Dorfplatz,Walddrehna Dorf,Bush,,
BWAB,Berlin-Wartenberg,Wartenberg,Bft,,
BWAF,Waßmannsdorf,Waßmannsdorf,Hp,,
BWAI,Berlin-Waidmannslust,Waidmannslust,Bf,,
BWAL,Neuendorf im Sande Waldfrieden,Waldfrieden,Anst,,
BWAS,Wandlitzsee,Wandlitzsee,NE-Hp,,
BWAX,Walddrehna / Brenitz-Sonnewalde ESTW-A,Walddrehna ESTW,BZ,,
BWAZ,Wandlitz,Wandlitz,NE-Hp Anst,,
BWD,Berlin Wiesendamm,Wiesendamm,Abzw,,
BWDD,Berlin-Wedding,Bln-Wedding,Anst,,
BWDF,Cottbus-Willmersdorf Nord,Cs-Willmersdf N,Hp,,
BWDFM,Cottbus-Willmersdorf Möbeldorf,Cs-Willmer Möbel,Bush,,
BWDG,Berlin-Wedding Abzw,Bln-Wedding Abzw,Abzw,,
BWDH,Berlin Wendenheide,Bln Wendenh,Abzw,,
BWE,Werder (Havel),Werder (Havel),Bf,,
BWED,Berlin-Wedding                  (S-Bahn),Wedding S-B,Bf,,
BWEG,Werneuchen DB-Grenze,Werneuchen DB-Gr,Gp,,
BWEG,Werneuchen DB-Grenze,Werneuchen DB-Gr,Gp,,
BWEL,Welzow,Welzow,Anst,,
BWER,Werneuchen,Werneuchen,Bf,,
BWERM,Werneuchen Markt,Werneuchen Markt,Bush,,
BWES,Berlin-Westend,Westend,Bf,,
BWF,Berlin Westhafen,Bln Westhafen,NE-Anst,,
BWFD,Weichensdorf,Weichensdorf,Anst,,
BWG,Wiesenburg (Mark),Wiesenburg(Mark),Bf,,
BWH,Berlin Westhafen (S-Bahn),Westhafen/S-Bahn,Bf,,
BWHA,Wilhelmshorst                     (Abzw),Wilhelmsh   Abzw,Abzw,,
BWHH,Berlin Wuhlheide (S-Bahn),Wuhlheide (SB),Bft,,
BWHO,Wilhelmshorst,Wilhelmshorst,Hp,,
BWHR,Berlin Wuhlheide Rbf,Bln Wuhlhde Rbf,Bf,,
BWHRA,Berlin Wuhlheide Rbf W6,Bln Wuhlheide W6,Bft,,
BWHRE,Berlin Wuhlheide Rbf W2,Bln Wuhlheide W2,Bft,,
BWHRM,Berlin Wuhlheide Rbf B4,Bln Wuhlhde Rbf,Bft,,
BWI,Wildau,Wildau,Bf,,
BWID,Wilmersdorf (Kr Beeskow),Wilmersdorf Kr B,Hp,,
BWIF,Wildau                             (Üst),Wildau       Üst,Üst,,
BWIG,Berlin-Wilhelmshagen,Wilhelmshagen,Hp,,
BWIN,Berlin-Wittenau (Wilhelmsruher Damm),Wittenau (Whr D),Hp,,
BWK,Wahrenbrück,Wahrenbrück,Bf,,
BWKA,Weißkollm Abzw,Weißkollm Abzw,Abzw,,
BWKL,Weißkeißel,Weißkeißel,Bf,,
BWKM,Weißkollm,Weißkollm,Bk,,
BWKO,Weißkollm Ausweichanschlussstelle,Weißkollm Awanst,Awanst,,
BWKR,Berlin Westkreuz (Fernbahn) ESTW-UZ,Bln Westkr(F) UZ,BZ,,
